Smiles,Tg/℃
O=C1C2=C(CN1[*])C=C3C(C(N(C4=CC=CC=C4OC5=CC=C([*])C=C5)C3=O)=O)=C2,386
O=C(N1CCCCCCCCN2C(C3=C([*])C=CC=C3C2=O)=O)C4=C(C(OC5=CC=C(C=C5)OC6=CC=C(C=C6)O[*])=CC=C4)C1=O,128
O=C(N1CCCCCCCCN2C(C3=C([*])C=CC=C3C2=O)=O)C4=C(C(OC5=CC=C(C=C5)C(C(F)(F)F)(C(F)(F)F)C6=CC=C(C=C6)O[*])=CC=C4)C1=O,135
O=C(N1C2=CC=CC=C2OC3=CC=CC=C3N4C(C5=CC=C(C([*])=O)C=C5C4=O)=O)C6=CC([*])=CC=C6C1=O,289
O=C(N1C2=CC=CC=C2OC3=CC=CC(N4C(C5=CC=C(C([*])=O)C=C5C4=O)=O)=C3)C6=CC([*])=CC=C6C1=O,259
O=C(N1C2=CC=CC=C2OC3=CC=C(N4C(C5=CC=C(C([*])=O)C=C5C4=O)=O)C=C3)C6=CC([*])=CC=C6C1=O,287
O=C(N1C2=CC=CC=C2CC3=CC=CC=C3N4C(C5=CC=C(C([*])=O)C=C5C4=O)=O)C6=CC([*])=CC=C6C1=O,285
O=C(N1C2=CC=CC=C2CC3=CC=CC(N4C(C5=CC=C(C([*])=O)C=C5C4=O)=O)=C3)C6=CC([*])=CC=C6C1=O,258
O=C(N1C2=CC=CC=C2CC3=CC=C(N4C(C5=CC=C(C([*])=O)C=C5C4=O)=O)C=C3)C6=CC([*])=CC=C6C1=O,290
O=C(N1C2=CC=CC(S(C3=CC=CC(N4C(C5=CC=CC(O[*])=C5C4=O)=O)=C3)(=O)=O)=C2)C6=C([*])C=CC=C6C1=O,241
O=C(N1C2=CC=CC(S(C3=CC=CC(N4C(C5=CC=C(O[*])C=C5C4=O)=O)=C3)(=O)=O)=C2)C6=C([*])C=CC=C6C1=O,244
O=C(N1C2=CC=CC(OC3=CC=CC(OC4=CC=CC(N5C(C6=CC=CC([*])=C6C5=O)=O)=C4)=C3)=C2)C7=C([*])C=CC=C7C1=O,206
O=C(N1C2=CC=CC(OC3=CC=CC(OC4=CC=CC(N5C(C6=CC=C([*])C=C6C5=O)=O)=C4)=C3)=C2)C7=CC([*])=CC=C7C1=O,200
O=C(N1C2=CC=CC(OC3=CC=CC(OC4=CC=CC(N5C(C6=CC=C([*])C=C6C5=O)=O)=C4)=C3)=C2)C7=C([*])C=CC=C7C1=O,205
O=C(N1C2=CC=CC(OC3=CC=C(OC4=CC=C(N5C(C6=CC=CC(O[*])=C6C5=O)=O)C=C4)C=C3)=C2)C7=C([*])C=CC=C7C1=O,263
O=C(N1C2=CC=CC(OC3=CC=C(OC4=CC=C(N5C(C6=CC=C(O[*])C=C6C5=O)=O)C=C4)C=C3)=C2)C7=CC([*])=CC=C7C1=O,245
O=C(N1C2=CC=CC(OC3=CC=C(OC4=CC=C(N5C(C6=CC=C(O[*])C=C6C5=O)=O)C=C4)C=C3)=C2)C7=C([*])C=CC=C7C1=O,253
O=C(N1C2=CC=CC(OC3=CC=C(C(C(C=C4)=CC=C4OC5=CC=CC(N6C(C7=CC=CC(O[*])=C7C6=O)=O)=C5)=O)C=C3)=C2)C8=C([*])C=CC=C8C1=O,198
O=C(N1C2=CC=CC(OC3=CC=C(C(C(C=C4)=CC=C4OC5=CC=CC(N6C(C7=CC=C(O[*])C=C7C6=O)=O)=C5)=O)C=C3)=C2)C8=CC([*])=CC=C8C1=O,204
O=C(N1C2=CC=CC(OC3=CC=C(C(C(C=C4)=CC=C4OC5=CC=CC(N6C(C7=CC=C(O[*])C=C7C6=O)=O)=C5)=O)C=C3)=C2)C8=C([*])C=CC=C8C1=O,207
O=C(N1C2=CC=CC(OC3=CC(N4C(C5=CC=CC([*])=C5C4=O)=O)=CC=C3)=C2)C6=C([*])C=CC=C6C1=O,246
O=C(N1C2=CC=CC(OC3=CC(N4C(C5=CC=C([*])C=C5C4=O)=O)=CC=C3)=C2)C6=CC([*])=CC=C6C1=O,243
O=C(N1C2=CC=CC(OC3=CC(N4C(C5=CC=C([*])C=C5C4=O)=O)=CC=C3)=C2)C6=C([*])C=CC=C6C1=O,245
O=C(N1C2=CC=CC(N3C(C4=CC=CC(OC5=CC=CC(O[*])=C5)=C4C3=O)=O)=C2)C6=C([*])C=CC=C6C1=O,241
O=C(N1C2=CC=CC(N3C(C4=CC=CC(OC5=CC=C(SC6=CC=CC(O[*])=C6)C=C5)=C4C3=O)=O)=C2)C7=C([*])C=CC=C7C1=O,231
O=C(N1C2=CC=CC(N3C(C4=CC=CC(OC5=CC=C(S(C6=CC=CC(O[*])=C6)(=O)=O)C=C5)=C4C3=O)=O)=C2)C7=C([*])C=CC=C7C1=O,266
O=C(N1C2=CC=CC(N3C(C4=CC=CC(OC5=CC=C(OC6=CC=CC(O[*])=C6)C=C5)=C4C3=O)=O)=C2)C7=C([*])C=CC=C7C1=O,238
O=C(N1C2=CC=CC(N3C(C4=CC=CC(OC5=CC=C(O[*])C=C5)=C4C3=O)=O)=C2)C6=C([*])C=CC=C6C1=O,259
O=C(N1C2=CC=CC(N3C(C4=CC=CC(OC5=CC=C(C6=CC=C(O[*])C=C6)C=C5)=C4C3=O)=O)=C2)C7=C([*])C=CC=C7C1=O,275
O=C(N1C2=CC=CC(N3C(C4=CC=CC(OC5=CC=C(C(C6=CC=CC(O[*])=C6)=O)C=C5)=C4C3=O)=O)=C2)C7=C([*])C=CC=C7C1=O,248
O=C(N1C2=CC=CC(N3C(C4=CC=CC(OC5=CC=C(C(C)(C)C6=CC=CC(O[*])=C6)C=C5)=C4C3=O)=O)=C2)C7=C([*])C=CC=C7C1=O,236
O=C(N1C2=CC=CC(N3C(C4=CC=C(OC5=CC=CC(O[*])=C5)C=C4C3=O)=O)=C2)C6=CC([*])=CC=C6C1=O,224
